22	IK	CHLORIDE RESISTANCE
22	IK	GRANITE DUST
22	IK	NANO-SILICA
22	IK	MARBLE DUST
22	TK	REUTILIZING
22	TK	CLAY
22	TK	BRICK
22	TK	DUST
22	TK	PASTE
22	TK	SUBSTITUTION
22	TK	PRODUCE
22	TK	ENVIRONMENT-FRIENDLY
22	TK	DURABLE
22	TK	MORTAR
23	TK	BUILDING
23	TK	PERFORMANCE
23	TK	INDICATORS
23	TK	IEQ
23	TK	ASSESSMENT
23	TK	PROCEDURE
23	TK	NEXT
23	TK	GENERATION
23	TK	EPC-S
24	AK	SCALING SCIENCE
24	AK	SCALABILITY
24	AK	DIFFUSION OF INNOVATION
24	AK	CAPACITY BUILDING
24	AK	DELIVERY OF HEALTH CARE
24	AK	HEALTH PLAN IMPLEMENTATION
24	AK	EVIDENCE-BASED PRACTICE
24	AK	REVIEW LITERATURE AS TOPIC
24	IK	INTERVENTIONS
24	IK	STRATEGIES
24	IK	IMPLEMENTATION
24	IK	OPPORTUNITIES
24	IK	SERVICES
24	IK	PROTOCOL
24	IK	COSTS
24	TK	EVIDENCE
24	TK	SCALING
24	TK	HEALTH
24	TK	SOCIAL
24	TK	CARE
24	TK	UMBRELLA
24	TK	REVIEW
25	AK	IN-USE STOCK
25	AK	URBAN WEIGHT
25	AK	COMPOSITION
25	AK	SOCIOECONOMIC FACTORS
25	AK	COUPLING
25	AK	DECOUPLING
25	IK	MATERIAL FLOW-ANALYSIS
25	IK	LIFE-CYCLE ASSESSMENT
25	IK	MATERIAL STOCK
25	IK	BUILDING STOCK
25	IK	CONSTRUCTION
25	IK	METABOLISM
25	IK	DYNAMICS
25	IK	MODEL
25	IK	GIS
25	TK	BEIJINGS
25	TK	URBAN
25	TK	WEIGHT
25	TK	COMPOSITION
25	TK	CHANGED
25	TK	SOCIOECONOMIC
25	TK	DEVELOPMENT
26	AK	CONSTRUCTED WETLANDS
26	AK	WASTEWATER REUSE
26	AK	AGRICULTURE
26	AK	SANITATION
26	AK	ARID REGIONS
26	IK	REMOVAL
26	IK	PLANTS
26	IK	PERFORMANCE
26	IK	AFRICA
26	TK	INNOVATIVE
26	TK	MULTISTAGE
26	TK	CONSTRUCTED
26	TK	WETLAND
26	TK	MUNICIPAL
26	TK	WASTEWATER
26	TK	TREATMENT
26	TK	REUSE
26	TK	AGRICULTURE
26	TK	SENEGAL
27	AK	URBAN MICRO-FOREST
27	AK	MIYAWAKI METHOD
27	AK	NATURE-BASED SOLUTION
27	AK	COLLABORATIVE GOVERNANCE
27	AK	COPRODUCTION
27	AK	CIVIC EXPERIMENTATION
27	AK	SOCIO-ECOLOGICAL INNOVATION
27	AK	PUBLIC NARRATIVE
27	AK	PARIS
27	TK	LETS
27	TK	PLANT
27	TK	URBAN
27	TK	MICRO-FORESTS
27	TK	NEW
27	TK	PUBLIC
27	TK	NARRATIVE
27	TK	CIVIC
27	TK	COPRODUCTION
27	TK	NATURE-BASED
27	TK	SOLUTION
27	TK	PARIS
28	AK	CARBON EMISSIONS
28	AK	CARBON REPLACEMENT VALUE
28	AK	ODENSE
28	AK	STOCKS AND FLOWS
28	AK	URBAN CARBON ACCOUNTING
28	AK	URBAN METABOLISM
28	IK	CARBON EMISSIONS
28	IK	CLIMATE-CHANGE
28	IK	GHG EMISSIONS
28	IK	CITIES
28	IK	CITY
28	IK	FOOTPRINT
28	IK	TIME
28	IK	CONSUMPTION
28	IK	METABOLISM
28	TK	EXTENDING
28	TK	URBAN
28	TK	STOCKS
28	TK	FLOWS
28	TK	ANALYSIS
28	TK	URBAN
28	TK	GREENHOUSE
28	TK	GAS
28	TK	EMISSION
28	TK	ACCOUNTING
28	TK	CASE
28	TK	ODENSE
28	TK	DENMARK
29	AK	LPSA
29	AK	SMALL DIAMETER TIMBER
29	AK	ENGINEERING STRUCTURES
29	AK	CONSERVATION
29	AK	ENVIRONMENT
29	AK	SUSTAINABLE DEVELOPMENT
29	AK	EARTHQUAKES
29	AK	RECYCLING
29	TK	LPSA
29	TK	INEVITABLE
29	TK	SUSTAINABLE
29	TK	TECHNOLOGY
30	IK	LONG CYCLE LIFE
30	IK	SNS NANOSHEETS
30	IK	PERFORMANCE
30	IK	INTERCALATION
30	IK	NANOPARTICLES
30	IK	NANOSTRUCTURES
30	IK	TRANSITION
30	IK	STABILITY
30	IK	COMPOSITE
30	TK	SPATIALLY
30	TK	CONTROLLED
30	TK	SYNTHESIS
30	TK	SUPERLATTICE-LIKE
30	TK	SNSNITROGEN-DOPED
30	TK	GRAPHENE
30	TK	HYBRID
30	TK	NANOBELTS
30	TK	HIGH-RATE
30	TK	DURABLE
30	TK	ANODE
30	TK	MATERIALS
30	TK	SODIUM-ION
30	TK	BATTERIES
31	IK	POLY(N-ISOPROPYLACRYLAMIDE)
31	IK	HYDROGEL
31	IK	LIGHT
31	TK	SYNTHESIS
31	TK	TEMPERATURE-
31	TK	HUMIDITY-INDUCED
31	TK	DUAL
31	TK	STIMULATION
31	TK	FILM
31	TK	PU-PNIPAMISUBNSUBI
31	TK	INDEPENDENT
31	TK	FILM
31	TK	FORMATION
31	TK	SMART
31	TK	WINDOW
31	TK	APPLICATION
32	AK	STEVENS-JOHNSON
32	AK	TOXIC EPIDERMAL NECROLYSIS
32	AK	HLA
32	AK	NETWORKS
32	AK	PHARMACOGENOMICS
32	AK	PHARMACOVIGILANCE
32	AK	ELECTRONIC HEALTH RECORD
32	AK	T CELLS
32	AK	GRANULYSIN
32	IK	TOXIC EPIDERMAL NECROLYSIS
32	IK	STEVENS-JOHNSON-SYNDROME
32	IK	CUTANEOUS ADVERSE-REACTIONS
32	IK	DOSE INTRAVENOUS IMMUNOGLOBULINS
32	IK	GENOME-WIDE ASSOCIATION
32	IK	REGULATORY T-CELLS
32	IK	HLA-CLASS-I
32	IK	ACUTE OCULAR MANIFESTATIONS
32	IK	DRUG-REACTIONS
32	IK	ERYTHEMA MULTIFORME
32	TK	SJSTEN
32	TK	2017
32	TK	BUILDING
32	TK	MULTIDISCIPLINARY
32	TK	NETWORKS
32	TK	DRIVE
32	TK	SCIENCE
32	TK	TRANSLATION
33	AK	HIERARCHICAL POROUS GE
33	AK	IN SITU CHARACTERIZATIONS
33	AK	LITHIUM-ION BATTERIES
33	AK	LOW VOLUME VARIATION
33	AK	MECHANICAL
33	AK	MICRO-NANOSTRUCTURES
33	IK	SCALABLE SYNTHESIS
33	IK	SILICON
33	IK	GE
33	TK	MULTISCALE
33	TK	MICRO-NANO
33	TK	HIERARCHICAL
33	TK	POROUS
33	TK	GERMANIUM
33	TK	SELF-ADAPTIVE
33	TK	STRESS
33	TK	DISPERSION
33	TK	HIGHLY
33	TK	ROBUST
33	TK	LITHIUM-ION
33	TK	BATTERIES
33	TK	ANODE
34	TK	PHOTOCATALYTIC
34	TK	PROPERTIES
34	TK	CEMENT-BASED
34	TK	PLASTERS
34	TK	PAINTS
34	TK	CONTAINING
34	TK	MINERAL
34	TK	PIGMENTS
35	AK	BIVO4 PHOTOANDE
35	AK	CHARGE TRANSPORT
35	AK	PHOTOCHEMICAL CELL
35	AK	SOLAR WATER SPLITTING
35	IK	BISMUTH VANADATE PHOTOANODES
35	IK	HYDROGEN-PRODUCTION
35	IK	ABSORPTION
35	IK	EFFICIENCY
35	IK	CATALYSTS
35	IK	VOLTAGE
35	TK	ENHANCED
35	TK	CHARGE
35	TK	SEPARATION
35	TK	NANOPOROUS
35	TK	BIVO4
35	TK	EXTERNAL
35	TK	ELECTRON
35	TK	TRANSPORT
35	TK	LAYER
35	TK	BOOSTS
35	TK	SOLAR
35	TK	WATER
35	TK	SPLITTING
36	AK	COPRODUCTION
36	AK	INTERDISCIPLINARITY
36	AK	PRACTICE-LED RESEARCH
36	AK	SUSTAINABILITY
36	AK	URBAN
36	IK	CLIMATE-CHANGE
36	IK	GOVERNANCE
36	IK	SCIENCE
36	IK	STATE
36	TK	CATALYST
36	TK	REIMAGINING
36	TK	SUSTAINABILITY
36	TK	THROUGH
36	TK	FINE
36	TK	ART
37	AK	VACUUM INSULATION PANELS
37	AK	CORE MATERIALS
37	AK	THERMAL CONDUCTIVITY
37	AK	PRESSURE HOLDING TIME
37	AK	EXTRACTION PROCESS
37	IK	VACUUM INSULATION PANELS
37	IK	CORE MATERIAL
37	IK	DRYING CONDITION
37	IK	OPTIMIZATION
37	TK	EFFECT
37	TK	PRESSURE
37	TK	HOLDING
37	TK	TIME
37	TK	EXTRACTION
37	TK	PROCESS
37	TK	THERMAL
37	TK	CONDUCTIVITY
37	TK	GLASSFIBER
37	TK	VIPS
38	AK	CARBON-BASED AEROGEL
38	AK	POLYURETHANE FOAM
38	AK	PIEZORESISTIVE SENSOR
38	AK	HUMAN MOTION
38	IK	SENSORS
38	TK	CARBON-BASED
38	TK	AEROGEL
38	TK	THREE-DIMENSIONAL
38	TK	POLYURETHANE
38	TK	SCAFFOLD
38	TK	EFFECT
38	TK	IIN
38	TK	SITUI
38	TK	UNIDIRECTIONAL
38	TK	AEROGEL
38	TK	GROWTH
38	TK	PIEZORESISTIVE
38	TK	PROPERTIES
39	AK	MECHANICAL STABILITY
